code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
26124,Étoile-sur-Rhône,84 - Auvergne-Rhône-Alpes,5468,19.21,27930.0,11.4884804483474,0.0,1,0,44.82723386792453,4.872565188679246,0.0,29786.955888121,False,False,98.15936694344327,1
26313,Saint-Marcel-lès-Valence,84 - Auvergne-Rhône-Alpes,6176,21.59,26570.0,11.1510922472438,0.0,0,0,44.97218553571429,4.94641875,3.8,30564.77423965845,True,False,118.00944477147276,0
26347,Tain-l'Hermitage,84 - Auvergne-Rhône-Alpes,5915,22.65,25380.0,11.2464984153812,0.0,4,0,45.07073421052632,4.851726842105263,0.0,28313.17504003333,False,False,93.84327334251704,1
27022,Le Val d'Hazey,28 - Normandie,5111,18.92,23990.0,10.3996689004598,0.0,0,0,49.16937942857143,1.312141,2.1,29722.901411694715,True,False,56.55150757761959,0
27198,Mesnils-sur-Iton,28 - Normandie,6078,20.38,25240.0,9.99657364401046,0.0,0,0,48.86405023041474,1.0239104608294929,12.2,33529.62133504443,True,True,66.12002933411605,0
27213,Vexin-sur-Epte,28 - Normandie,6015,16.77,27670.0,10.6155266165024,0.0,0,0,49.16966165217392,1.5753270869565217,10.5,32907.94743511969,True,True,42.91199701139704,0
27448,Pacy-sur-Eure,28 - Normandie,5027,26.45,26010.0,12.2901871778437,0.0,1,0,49.0185378313253,1.3797436144578314,0.0,30171.48250668276,False,False,67.0528958896291,1
27602,Saint-Sébastien-de-Morsent,28 - Normandie,5524,24.87,26090.0,10.9366635783912,0.0,0,0,49.012722653061225,1.0717028571428573,4.7,31161.115531794974,True,False,60.58213707415969,0
27679,Verneuil d'Avre et d'Iton,28 - Normandie,7193,28.72,22520.0,10.2684341210581,0.0,5,1,48.76036419889502,0.8866244198895027,0.0,29871.828732438524,False,False,49.35103646106178,1
27701,Val-de-Reuil,28 - Normandie,13245,9.39,18960.0,12.4698986220886,0.0,0,0,49.26220469072165,1.2092811340206189,6.3,32607.689154804037,True,True,74.92784761502509,0
28015,Auneau-Bleury-Saint-Symphorien,24 - Centre-Val de Loire,6419,16.23,26260.0,12.8590253499576,0.0,2,0,48.494701709401696,1.7630725641025642,0.0,28661.421399907173,False,False,64.89898602074256,1
28103,Cloyes-les-Trois-Rivières,24 - Centre-Val de Loire,5607,31.08,25690.0,9.23275158107138,0.0,1,0,48.0030584,1.30140536,0.0,30531.100394461653,False,False,75.01863758389243,1
28209,Lèves,24 - Centre-Val de Loire,5685,19.7,28220.0,13.8958564798763,0.0,1,0,48.47741977272728,1.4716652272727269,0.0,30053.249047441423,False,False,65.67728829298426,1
28220,Luisant,24 - Centre-Val de Loire,6945,25.14,28080.0,12.3741955257407,0.0,0,0,48.42446793103448,1.4702758620689658,1.9,30470.148461643377,True,False,67.58252967796169,0
28229,Mainvilliers,24 - Centre-Val de Loire,10629,17.09,23140.0,14.889009043237,0.0,0,2,48.46367283018868,1.443831509433962,2.6,30906.871507817632,True,False,64.88958466052713,0
29020,Briec,53 - Bretagne,5816,18.61,24840.0,10.1131904577312,0.0,1,0,48.090412145748985,-4.00977072874494,0.0,29315.98955276232,False,False,66.3183817742335,1
29061,Gouesnou,53 - Bretagne,6501,22.1,29020.0,12.410273427838,0.0,2,0,48.44780373134328,-4.461620746268657,0.0,29683.33726859213,False,False,84.28163865049075,1
29158,Penmarch,53 - Bretagne,5508,41.17,26250.0,10.9274828048208,0.0,0,0,47.81334102941177,-4.341711764705883,4.2,32615.970786886868,True,True,51.64530989001808,0
29174,Plonéour-Lanvern,53 - Bretagne,6452,22.66,25800.0,10.0191520417846,0.0,0,0,47.906682,-4.266745135135134,6.3,31490.062970668725,True,False,77.56571847236363,0
